trial_number,loss,latent_dim,int1_dim,int2_dim,int3_dim,int4_dim,dropout_rate,kl_beta,alpha_lrelu,momentum,initial_lr,decay_steps,decay_rate
133.0,0.16462257504463196,46.0,282.0,195.0,80.0,71.0,0.3331430196245851,1.0,0.06721106210711639,0.8880415188988063,0.01795407332125876,159.0,1.140047741372574
134.0,0.17182688415050507,47.0,269.0,185.0,73.0,65.0,0.32025759661145836,1.0,0.04502738339391024,0.8741704484806826,0.011947689293200694,166.0,1.154328189046442
135.0,0.16079284250736237,44.0,261.0,220.0,88.0,53.0,0.27676203292612384,1.0,0.05243681041654363,0.8666207759913162,0.02168319009180596,170.0,1.1513465601226283
136.0,0.14351758360862732,48.0,271.0,199.0,69.0,75.0,0.3142296499240864,1.0,0.07927878746841172,0.8999744435394827,0.014084385947846065,176.0,1.119456654266973
137.0,0.1711413562297821,47.0,276.0,197.0,69.0,76.0,0.32960450496715155,1.0,0.07781568616485443,0.8929413549525052,0.014169348595273436,175.0,1.1249758671757812
138.0,0.1666940450668335,13.0,291.0,176.0,82.0,69.0,0.3036789434468986,1.0,0.06579847989314047,0.8832568563094605,0.0166395889587315,182.0,1.1215317022097084
139.0,0.16870056092739105,23.0,265.0,200.0,78.0,74.0,0.2950839943436306,1.0,0.09112596143368297,0.8986747452155511,0.018949388518121127,178.0,1.1342734674801542
140.0,0.15764284133911133,48.0,384.0,209.0,66.0,59.0,0.24449437415040873,1.0,0.04096726041883525,0.8815063293448671,0.02577562559261693,174.0,1.1100297928019476
141.0,0.14174531400203705,49.0,284.0,186.0,71.0,90.0,0.31429722152031087,1.0,0.08223934890282661,0.8593590477337583,0.009841153705589962,161.0,1.1443712587574706
142.0,0.1613740772008896,48.0,283.0,190.0,71.0,92.0,0.3378190209086092,1.0,0.07958938374517033,0.8566259920424811,0.013490502156830616,162.0,1.144785842262094
143.0,0.16776984930038452,45.0,272.0,186.0,74.0,85.0,0.32104479206294606,1.0,0.09551788613357279,0.8679500242941854,0.011332171888999744,168.0,1.1630441082432224
144.0,0.1635623574256897,46.0,290.0,200.0,69.0,101.0,0.3027371662073838,1.0,0.060122754611728654,0.8766068837210579,0.015532383625842656,165.0,1.139836204376301
145.0,0.17102132737636566,49.0,260.0,172.0,72.0,98.0,0.3461875425126451,1.0,0.08452828901373688,0.8543604211470073,0.009297278635282324,161.0,1.1277331544183378
146.0,0.1624763011932373,47.0,481.0,221.0,67.0,79.0,0.28957584646660767,1.0,0.07070010581891352,0.8897872541470472,0.011186058873256435,172.0,1.1206566403835236
147.0,0.15644517540931702,50.0,274.0,210.0,63.0,66.0,0.23544200596148238,1.0,0.05503301818036901,0.8724437487955526,0.00704338344554112,178.0,1.1316688314854166
148.0,0.1405358463525772,49.0,313.0,128.0,65.0,93.0,0.3131370899729753,1.0,0.11208149441341314,0.8623866159219051,0.013391775621577371,190.0,1.1110029752096118
149.0,0.162749782204628,49.0,327.0,129.0,58.0,92.0,0.31323221809955826,1.0,0.11277542499038704,0.8462797988259301,0.02001507381985336,184.0,1.147714147560027
150.0,0.14832061529159546,48.0,305.0,192.0,85.0,75.0,0.32721469315609997,1.0,0.02877630474971743,0.8625855982985897,0.016797541132733962,191.0,1.1090931612488697
151.0,0.1568489968776703,50.0,321.0,39.0,65.0,83.0,0.3012508557171691,1.0,0.10014195296833944,0.882113862015888,0.01323747723208423,165.0,1.117124843900439
